A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|A -> sensação
sensação -> de
de -> insegurança
sensação -> e
e -> debilidade
debilidade -> de
de -> poder
poder -> o
o -> público
insegurança -> de
de -> os
os -> Estados
Estados -> Unidos
Unidos -> de
de -> o
o -> final
final -> de
de -> o
o -> século
século -> 18
18 -> ,
, -> quando
quando -> (
( -> segundo
segundo -> versão
versão -> mais
mais -> aceita
aceita -> )
) -> a
a -> palavra
palavra -> teria
teria -> sido
sido -> inventada
inventada -> a
a -> partir
partir -> de
de -> a
a -> prática
prática -> adotada
adotada -> por
por -> um
um -> juiz
juiz -> Lynch
Lynch -> ,
, -> de
de -> condenar
condenar -> e
e -> executar
executar -> seus
seus -> adversários
adversários -> sem
sem -> o
o -> devido
devido -> processo
processo -> legal
devido -> .
. ->
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [- Brasil-Estados]
REFINE [- Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [- Unidos]
REFINE [- Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [- em]
REFINE [- em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [- Paulo]
REFINE [- Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [- ficaram]
REFINE [- ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [- conformados]
REFINE [- conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [- derrota]
REFINE [- derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [- seleção]
REFINE [- seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [- .]
REFINE [- .]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [- Como]
REFINE [- Como]
REFINE [Como]
REFINE [Como]
REFINE [Como]
REFINE [Como]
-----------END REFINE---------
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [- você]
REFINE [- você]
REFINE [você]
REFINE [você]
REFINE [você]
REFINE [você]
-----------END REFINE---------
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [- a]
REFINE [- a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [notícia]
REFINE [notícia]
REFINE [notícia]
REFINE [notícia]
REFINE [notícia]
-----------END REFINE---------
REFINE [- notícia]
REFINE [- notícia]
REFINE [notícia]
REFINE [notícia]
REFINE [notícia]
REFINE [notícia]
-----------END REFINE---------
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [- de]
REFINE [- de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [- que]
REFINE [- que]
REFINE [que]
REFINE [que]
REFINE [que]
REFINE [que]
-----------END REFINE---------
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
-----------END REFINE---------
REFINE [- seria]
REFINE [- seria]
REFINE [seria]
REFINE [seria]
REFINE [seria]
REFINE [seria]
-----------END REFINE---------
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
-----------END REFINE---------
REFINE [- substituído]
REFINE [- substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
-----------END REFINE---------
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
REFINE [recebeu]
-----------END REFINE---------
REFINE [- ?]
REFINE [- ?]
REFINE [?]
REFINE [?]
REFINE [?]
REFINE [?]
-----------END REFINE---------
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
REFINE [substituído]
-----------END REFINE---------
chatGPT|:|reuniram<@>norte-americanos<#>em<@>reuniram<#>Câmara<@>em<#>Comércio<@>Câmara<#>Brasil-Estados<@>Comércio<#>Unidos<@>Brasil-Estados<#>em<@>reuniram<#>Paulo<@>em<#>ficaram<@>reuniram<#>conformados<@>ficaram<#>derrota<@>conformados<#>seleção<@>derrota<#>.<@>ficaram<#>Como<@>recebeu<#>você<@>recebeu<#>a<@>notícia<#>notícia<@>recebeu<#>de<@>recebeu<#>que<@>substituído<#>seria<@>substituído<#>substituído<@>recebeu<#>?<@>substituído|:|UDA:0.231<#>DDA: 0.231
GoldTree |:|Os<@>--<@>det<#>norte-americanos<@>ficaram<@>nsubj<#>que<@>recebeu<@>nsubj<#>se<@>recebeu<@>expl<#>reuniram<@>--<@>acl<#>ontem<@>recebeu<@>advmod<#>em<@>que<@>case<#>a<@>que<@>det<#>Câmara<@>recebeu<@>obl<#>de<@>substituído<@>case<#>Comércio<@>que<@>nmod<#>Brasil-Estados<@>substituído<@>flat<#>Unidos<@>substituído<@>flat<#>,<@>recebeu<@>punct<#>em<@>São<@>case<#>São<@>recebeu<@>obl<#>Paulo<@>São<@>flat<#>,<@>recebeu<@>punct<#>ficaram<@>root<@>root<#>conformados<@>ficaram<@>xcomp<#>com<@>derrota<@>case<#>a<@>derrota<@>det<#>derrota<@>ficaram<@>obl<#>de<@>seleção<@>case<#>sua<@>seleção<@>det<#>seleção<@>derrota<@>nmod<#>.<@>ficaram<@>punct<#>Folha<@>root<@>root<#>--<@>Folha<@>punct<#>Como<@>recebeu<@>advmod<#>você<@>recebeu<@>nsubj<#>recebeu<@>Folha<@>parataxis<#>a<@>notícia<@>det<#>notícia<@>recebeu<@>obj<#>de<@>substituído<@>mark<#>que<@>substituído<@>mark<#>seria<@>substituído<@>aux<#>substituído<@>notícia<@>acl<#>?<@>Folha<@>punct
>--<
Giovane -- Normalmente .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "Giovane -- Normalmente .", usando o formato (token dependente -> token cabeça).
REPLY|:|Giovane -> Normalmente
Normalmente -> Giovane
REFINE [Normalmente]
REFINE [Normalmente]
REFINE [Normalmente]
REFINE [Normalmente]
REFINE [Normalmente]
REFINE [Normalmente]
-----------END REFINE---------
REFINE [Giovane]
REFINE [Giovane]
REFINE [Giovane]
REFINE [Giovane]
REFINE [Giovane]
-----------END REFINE---------
chatGPT|:|Normalmente<@>Giovane|:|UDA:0.250<#>DDA: 0.250
GoldTree |:|Giovane<@>root<@>root<#>--<@>Giovane<@>punct<#>Normalmente<@>Giovane<@>parataxis<#>.<@>Giovane<@>punct
>--<
Seleção é isso , joga quem está melhor , não tem esse negócio de nome .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "Seleção é isso , joga quem está melhor , não tem esse negócio de nome .", usando o formato (token dependente -> token cabeça).
REPLY|:|Seleção -> é
isso -> é
joga -> melhor
quem -> joga
está -> joga
melhor -> tem
não -> tem
tem -> joga
esse -> negócio
negócio -> tem
de -> negócio
nome -> tem
REFINE [isso]
REFINE [isso]
REFINE [isso]
REFINE [isso]
REFINE [isso]
REFINE [isso]
-----------END REFINE---------
REFINE [é]
REFINE [é]
REFINE [é]
REFINE [é]
REFINE [é]
-----------END REFINE---------
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
-----------END REFINE---------
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
-----------END REFINE---------
REFINE [quem]
REFINE [quem]
REFINE [quem]
REFINE [quem]
REFINE [quem]
REFINE [quem]
-----------END REFINE---------
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
-----------END REFINE---------
REFINE [está]
REFINE [está]
REFINE [está]
REFINE [está]
REFINE [está]
REFINE [está]
-----------END REFINE---------
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
-----------END REFINE---------
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
REFINE [melhor]
-----------END REFINE---------
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
REFINE [não]
REFINE [não]
REFINE [não]
REFINE [não]
REFINE [não]
REFINE [não]
-----------END REFINE---------
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
REFINE [joga]
-----------END REFINE---------
REFINE [esse]
REFINE [esse]
REFINE [esse]
REFINE [esse]
REFINE [esse]
REFINE [esse]
-----------END REFINE---------
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
-----------END REFINE---------
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
-----------END REFINE---------
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
REFINE [negócio]
-----------END REFINE---------
REFINE [nome]
REFINE [nome]
REFINE [nome]
REFINE [nome]
REFINE [nome]
REFINE [nome]
-----------END REFINE---------
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
REFINE [tem]
-----------END REFINE---------
chatGPT|:|isso<@>é<#>joga<@>melhor<#>quem<@>joga<#>está<@>joga<#>melhor<@>tem<#>não<@>tem<#>tem<@>joga<#>esse<@>negócio<#>negócio<@>tem<#>de<@>negócio<#>nome<@>tem|:|UDA:0.375<#>DDA: 0.250
GoldTree |:|Seleção<@>isso<@>nsubj<#>é<@>isso<@>cop<#>isso<@>root<@>root<#>,<@>joga<@>punct<#>joga<@>isso<@>acl<#>quem<@>melhor<@>nsubj<#>está<@>melhor<@>cop<#>melhor<@>joga<@>csubj<#>,<@>tem<@>punct<#>não<@>tem<@>advmod<#>tem<@>joga<@>conj<#>esse<@>negócio<@>det<#>negócio<@>tem<@>nsubj<#>de<@>nome<@>case<#>nome<@>negócio<@>nmod<#>.<@>isso<@>punct
>--<
A melhor equipe é que deve jogar .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "A melhor equipe é que deve jogar .", usando o formato (token dependente -> token cabeça).
REPLY|:|melhor -> equipe
equipe -> A
equipe -> jogar
jogar -> deve
deve -> é
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
-----------END REFINE---------
REFINE [A]
REFINE [A]
REFINE [A]
REFINE [A]
REFINE [A]
-----------END REFINE---------
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
REFINE [equipe]
-----------END REFINE---------
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
-----------END REFINE---------
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
REFINE [jogar]
-----------END REFINE---------
REFINE [deve]
REFINE [deve]
REFINE [deve]
REFINE [deve]
REFINE [deve]
-----------END REFINE---------
REFINE [deve]
REFINE [deve]
REFINE [deve]
REFINE [deve]
REFINE [deve]
REFINE [deve]
-----------END REFINE---------
REFINE [é]
REFINE [é]
REFINE [é]
REFINE [é]
REFINE [é]
-----------END REFINE---------
chatGPT|:|equipe<@>A<#>equipe<@>jogar<#>jogar<@>deve<#>deve<@>é|:|UDA:0.250<#>DDA: 0.125
GoldTree |:|A<@>equipe<@>det<#>melhor<@>equipe<@>amod<#>equipe<@>deve<@>nsubj<#>é<@>jogar<@>discourse<#>que<@>é<@>fixed<#>deve<@>root<@>root<#>jogar<@>deve<@>xcomp<#>.<@>jogar<@>punct
>--<
O NÚMERO 32
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "O NÚMERO 32", usando o formato (token dependente -> token cabeça).
REPLY|:|O -> NÚMERO
NÚMERO -> 32
REFINE [NÚMERO]
REFINE [NÚMERO]
REFINE [NÚMERO]
REFINE [NÚMERO]
REFINE [NÚMERO]
REFINE [NÚMERO]
-----------END REFINE---------
REFINE [32]
REFINE [32]
REFINE [32]
REFINE [32]
REFINE [32]
-----------END REFINE---------
chatGPT|:|NÚMERO<@>32|:|UDA:0.333<#>DDA: 0.000
GoldTree |:|O<@>NÚMERO<@>det<#>NÚMERO<@>root<@>root<#>32<@>NÚMERO<@>nummod
>--<
... casos positivos de dengue em Monte Aprazível ( 38 km de Rio Preto-SP ) foram divulgados ontem por o Ersa ( Escritório Regional de Saúde ) de Rio Preto .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "... casos positivos de dengue em Monte Aprazível ( 38 km de Rio Preto-SP ) foram divulgados ontem por o Ersa ( Escritório Regional de Saúde ) de Rio Preto .", usando o formato (token dependente -> token cabeça).
REPLY|:|casos -> positivos
positivos -> foram
foram -> divulgados
divulgados -> ontem
ontem -> por
por -> Ersa
Ersa -> de
de -> Saúde
Saúde -> Escritório
Escritório -> de
de -> Rio
Rio -> Preto
Preto -> .
Monte -> Aprazível
Aprazível -> km
km -> de
de -> Rio
Rio -> Preto-SP
Preto-SP -> de
de -> .
Ersa -> de
de -> Rio
Rio -> Preto
Preto -> .
Ersa -> Rio
Rio -> Preto
Preto -> de
de -> .
Rio -> Preto
Preto -> .

REFINE [positivos]
REFINE [positivos]
REFINE [positivos]
REFINE [positivos]
REFINE [positivos]
REFINE [positivos]
-----------END REFINE---------
REFINE [foram]
REFINE [foram]
REFINE [foram]
REFINE [foram]
REFINE [foram]
-----------END REFINE---------
REFINE [foram]
REFINE [foram]
REFINE [foram]
REFINE [foram]
REFINE [foram]
REFINE [foram]
-----------END REFINE---------
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
-----------END REFINE---------
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
REFINE [divulgados]
-----------END REFINE---------
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
-----------END REFINE---------
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
-----------END REFINE---------
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
-----------END REFINE---------
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
REFINE [por]
-----------END REFINE---------
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
-----------END REFINE---------
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
-----------END REFINE---------
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
REFINE [Saúde]
-----------END REFINE---------
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
-----------END REFINE---------
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
REFINE [Escritório]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [Monte]
REFINE [Monte]
REFINE [Monte]
REFINE [Monte]
REFINE [Monte]
REFINE [Monte]
-----------END REFINE---------
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
REFINE [Aprazível]
-----------END REFINE---------
REFINE [km]
REFINE [km]
REFINE [km]
REFINE [km]
REFINE [km]
-----------END REFINE---------
REFINE [km]
REFINE [km]
REFINE [km]
REFINE [km]
REFINE [km]
REFINE [km]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
-----------END REFINE---------
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
REFINE [Preto-SP]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
REFINE [Ersa]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
REFINE [Rio]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
REFINE [Preto]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
chatGPT|:|positivos<@>foram<#>foram<@>divulgados<#>divulgados<@>ontem<#>ontem<@>por<#>por<@>Ersa<#>Ersa<@>de<#>de<@>Saúde<#>Saúde<@>Escritório<#>Escritório<@>de<#>de<@>Rio<#>Rio<@>Preto<#>Preto<@>.<#>Monte<@>Aprazível<#>Aprazível<@>km<#>km<@>de<#>de<@>Rio<#>Rio<@>Preto-SP<#>Preto-SP<@>de<#>de<@>.<#>Ersa<@>de<#>de<@>Rio<#>Rio<@>Preto<#>Preto<@>.<#>Ersa<@>Rio<#>Rio<@>Preto<#>Preto<@>de<#>de<@>.<#>Rio<@>Preto<#>Preto<@>.<#><@>|:|UDA:0.355<#>DDA: 0.194
GoldTree |:|...<@>divulgados<@>punct<#>casos<@>divulgados<@>nsubj<#>positivos<@>casos<@>amod<#>de<@>dengue<@>case<#>dengue<@>casos<@>nmod<#>em<@>Monte<@>case<#>Monte<@>casos<@>nmod<#>Aprazível<@>Monte<@>flat<#>(<@>km<@>punct<#>38<@>km<@>nummod<#>km<@>Monte<@>appos<#>de<@>Rio<@>case<#>Rio<@>km<@>nmod<#>Preto-SP<@>Rio<@>flat<#>)<@>km<@>punct<#>foram<@>divulgados<@>aux<#>divulgados<@>root<@>root<#>ontem<@>divulgados<@>advmod<#>por<@>Ersa<@>case<#>o<@>Ersa<@>det<#>Ersa<@>divulgados<@>obl<#>(<@>Escritório<@>punct<#>Escritório<@>Ersa<@>appos<#>Regional<@>Escritório<@>flat<#>de<@>Saúde<@>case<#>Saúde<@>Escritório<@>nmod<#>)<@>Escritório<@>punct<#>de<@>Rio<@>case<#>Rio<@>Ersa<@>nmod<#>Preto<@>Rio<@>flat<#>.<@>divulgados<@>punct
>--<
A região vive uma epidemia de a doença .
MESSAGE|:|.
Liste as relações de dependência sintática na sentença "A região vive uma epidemia de a doença .", usando o formato (token dependente -> token cabeça).
REPLY|:|região -> vive

vive -> epidemia

epidemia -> de

de -> a

a -> doença

doença -> .

As relações de dependência sintática na sentença são:

1. região -> vive
2. vive -> epidemia
3. epidemia -> de
4. de -> a
5. a -> doença
6. doença -> .
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
-----------END REFINE---------
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
-----------END REFINE---------
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [doença]
REFINE [doença]
REFINE [doença]
REFINE [doença]
REFINE [doença]
-----------END REFINE---------
REFINE [doença]
REFINE [doença]
REFINE [doença]
REFINE [doença]
REFINE [doença]
REFINE [doença]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [1. região]
REFINE [1. região]
REFINE [região]
REFINE [região]
REFINE [região]
REFINE [região]
-----------END REFINE---------
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
-----------END REFINE---------
REFINE [2. vive]
REFINE [2. vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
REFINE [vive]
-----------END REFINE---------
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
-----------END REFINE---------
REFINE [3. epidemia]
REFINE [3. epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
REFINE [epidemia]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [4. de]
REFINE [4. de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [5. a]
REFINE [5. a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
